,city,date,polarity,state,text
25,Highland Park,Mon Jul 30 23:59:27 +0000 2018,0.0,IL,Actually...changed my mind                 4. @Ben_Zorn                                           3. @Jason_Tartick… https://t.co/pLhxJ0Z4LQ
26,Bolivar,Mon Jul 30 19:16:21 +0000 2018,0.0,MO,@holiday_colton @chappell_21 ^ this 😂😂
27,Bolivar,Mon Jul 30 19:34:42 +0000 2018,0.0,MO,@joeyclark5277 @chappell_21 @holiday_colton My fav tweet ever
0,New Orleans,Tue Jul 31 17:15:45 +0000 2018,0.2,LA,I really feel like @Jason_Tartick is just really placing himself as #1 #bachelor choice
1,Winston-Salem,Tue Jul 31 17:18:13 +0000 2018,0.5,NC,@PFF_Mike Didn't look at the list but shut up and dance and 15 million merits are probably my top 2
2,Cheney,Tue Jul 31 17:19:01 +0000 2018,0.0,WA,@Jason_Tartick I wish you were the next #bachelor #BachelorNation
3,Yaphank,Tue Jul 31 17:43:29 +0000 2018,0.0,NY,@jordan__kimball @Jason_Tartick And you would finally have professionality 😝
4,Parker,Tue Jul 31 17:57:32 +0000 2018,0.0,CO,Finally watched Men Tell All. @CObrochta33 rockin the glasses. 😍
5,Amherst,Tue Jul 31 11:26:03 +0000 2018,0.0,NY,Do you have questions for @Jason_Tartick We talk with him at 9:30a this morning. - @JanetSnyderKISS @NICKinBUFFALO https://t.co/rI2W1dLRvC
6,Vernon,Tue Jul 31 11:36:33 +0000 2018,0.5,NJ,@Jason_Tartick better be the bachelor 😍
7,Yaphank,Tue Jul 31 11:44:32 +0000 2018,0.78125,NY,@haley_paigee11 @Jason_Tartick Couldn’t agree more!! @Jason_Tartick you were beyond a gentleman and truly a class a… https://t.co/TBJ7Zjmgjq
8,Yaphank,Tue Jul 31 11:50:55 +0000 2018,0.65,NY,@mariahterryy I think you’ve provided the compelling reasons why @Jason_Tartick fits the Bachelor bill perfectly!!
9,Layton,Tue Jul 31 16:01:38 +0000 2018,0.5,UT,@outoftheboxj @Jason_Tartick @Colt3FIVE This judgement call on his part is one of the many reasons he’s the bachelo… https://t.co/AZyBT17vhK
10,Atlanta,Tue Jul 31 16:06:21 +0000 2018,0.5580357142857142,GA,@Jason_Tartick Your time is right here !!! Hi 👋🏽👋🏽👋🏽👋🏽👋🏽
11,West Allis,Tue Jul 31 16:29:13 +0000 2018,0.0,WI,@theRealBeto @Dwargolet @Jason_Tartick 😀😃😄😅
12,Katy,Tue Jul 31 16:31:21 +0000 2018,0.0,TX,If @Jason_Tartick isn’t the next bachelor I will actually sue I’m not kidding
13,Merrillville,Tue Jul 31 16:41:58 +0000 2018,0.027777777777777773,IN,I’m super disappointed Jason Tartick was in Chicago and I didn’t get the chance to meet him and fall in love 😩🙃
14,La Habra,Tue Jul 31 15:59:32 +0000 2018,0.0,CA,@amandaenriquez_ @Jason_Tartick You’d talk his ear off
15,Shirley,Tue Jul 31 22:21:55 +0000 2018,0.0,NY,@ChrisRandone @Colt3FIVE And you probably wouldn’t know
16,Wasilla,Tue Jul 31 22:38:31 +0000 2018,0.75,AK,@cw907 @Jason_Tartick @courtttttttt_ Good!!! He’s so precious 😭
17,Odenton,Tue Jul 31 22:48:00 +0000 2018,0.611111111111111,MD,@jordan__kimball loved your look on the #TheMenTellAll My hubby wore that suit for our wedding!!!! Super handsome s… https://t.co/SoiWZhfaaz
18,The Acreage,Tue Jul 31 22:54:01 +0000 2018,0.0,FL,That moment you realize ‘Don’t Ask’ came back from Neverland to grow up and go on #TheBachelorette @Jason_Tartick https://t.co/HB0Dqk2E5j
19,Phoenix,Tue Jul 31 19:02:53 +0000 2018,0.5,AZ,@johngraham262 This was one of my all time favorite bachelor moments. #mathishot
20,Yaphank,Tue Jul 31 19:25:14 +0000 2018,-0.15555555555555559,NY,@jordan__kimball @Jason_Tartick What do you say Jordan:  if Jason turns down the Bachelor you step in?  I think it… https://t.co/g6aC425odW
21,Costa Mesa,Tue Jul 31 19:26:10 +0000 2018,-0.6,CA,@chchrip111 @Ryan_Kartje @PFF_Mike Salty cause Hayward fucked OBJ
22,Glenpool,Tue Jul 31 19:52:18 +0000 2018,0.2,OK,@jordan__kimball @MommaReneePetro Telling us to be real. Well she was 😂
23,Waterville,Tue Jul 31 19:56:38 +0000 2018,0.05,ME,@HelloMovieStar @Jason_Tartick @ABCBachelorThe Yes yes yes! He’s such a gentleman and you can tell he’s the “complete package”
24,Staten Island,Tue Jul 31 14:02:08 +0000 2018,0.0,NY,@Jason_Tartick next bachelor?? 🧐
25,Schaumburg,Tue Jul 31 14:04:09 +0000 2018,-0.525,IL,@ChrisRandone If people are calling you ugly &amp; all those other things they are crazy! 😍
26,Yaphank,Tue Jul 31 14:28:42 +0000 2018,-0.30000000000000004,NY,@jordan__kimball @Jason_Tartick Jealous much?  Haters gonna hate
27,Ocean City,Tue Jul 31 14:46:12 +0000 2018,0.244140625,NJ,@BacheloretteABC @Jason_Tartick Jason is a classy guy !!!!
28,Manhattan,Tue Jul 31 14:50:14 +0000 2018,0.0,NY,@theeeaaaaa @Jason_Tartick set me up?
29,South Gate,Tue Jul 31 14:50:22 +0000 2018,0.3,MD,@erinlrrt @AshleySpivey @CObrochta33 Oh wow ok
30,Slidell,Tue Jul 31 12:13:27 +0000 2018,0.0,LA,@haley_paigee11 @Jason_Tartick 🙌🏼
31,Hamburg,Tue Jul 31 12:15:12 +0000 2018,0.0,NY,9:30am we talk to @Jason_Tartick Questions for him ?? - @JanetSnyderKISS  @NICKinBUFFALO https://t.co/3PLuHy0Uq7
32,Medford,Tue Jul 31 12:34:19 +0000 2018,-0.4,NY,@jordan__kimball Yes be real but stop being really annoying!  You could take a page out of @Jason_Tartick playbook and find balance.
33,West Seneca,Tue Jul 31 12:52:46 +0000 2018,0.375,NY,@emmamary4 @Jason_Tartick @joejonas Okay wait first of all: joe Jonas all the WAY....second of all....there’s no wa… https://t.co/7e0et3Uss4
34,Owensboro,Tue Jul 31 13:16:09 +0000 2018,0.0,KY,@Jason_Tartick Yeah
35,Owensboro,Tue Jul 31 13:28:37 +0000 2018,0.0,KY,@edierae810 @Jason_Tartick I vote grocery man!!
36,Chesterfield,Tue Jul 31 13:39:44 +0000 2018,0.0,MO,@Jason_Tartick #JasonforBachelor
37,Portsmouth,Tue Jul 31 13:45:56 +0000 2018,0.0,RI,@PFF_Mike  https://t.co/dl86bI0miT
38,Danvers,Tue Jul 31 13:52:10 +0000 2018,0.5,MA,"Okay, I think I’m in love with @Jason_Tartick 😭😍"
39,Lancaster,Tue Jul 31 23:00:44 +0000 2018,0.0,NY,"After watching @Jason_Tartick this season on The Bachelorette, I’ve come to the conclusion that he just needs a nic… https://t.co/4suxuREwe9"
40,Queens,Tue Jul 31 23:06:25 +0000 2018,-0.375,NY,"re Colton on #thebachelorette there's nothing wrong w ""it"" but being a virgin is not a sexual identity so there's n… https://t.co/Aabc5zbMnf"
41,Covington,Tue Jul 31 23:37:31 +0000 2018,0.0,KY,@mynameiscolton Often!
42,Oakville,Tue Jul 31 23:57:29 +0000 2018,0.25,MO,@jason4e @pencolton @Molly3186 I believe the current administration prefers the motto “out of one there are many we… https://t.co/fKppEJI9e4
43,Los Angeles,Tue Jul 31 20:10:50 +0000 2018,1.0,CA,Say what you want about @jordan__kimball but he was the best part of this season and I am HERE 👏🏽 FOR 👏🏽 PARADISE… https://t.co/MrJ4BLAjGi
